dataset,pair_dir,image_file,mask_file,shape_h,shape_w,spacing_x,spacing_y,intensity_min,intensity_max,intensity_mean,intensity_std,intensity_median,intensity_p01,intensity_p05,intensity_p25,intensity_p75,intensity_p95,intensity_p99,intensity_iqr,dynamic_range_p99_p01,zero_fraction,grad_mag_mean,grad_mag_std,entropy_256,lung_mask_available,lung_fraction,lung_intensity_mean,lung_intensity_std
pairs_1_98,pair1,4A.nii.gz,4A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,146.05552673339844,58.51294708251953,159.0,0.0,7.0,119.0,193.0,212.0,219.0,74.0,219.0,0.036809285481770836,3.1796841621398926,6.944770812988281,7.385964050082772,1.0,0.2519785563151042,145.26040649414062,37.73525619506836
pairs_1_98,pair1,4B.nii.gz,4B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,126.65573120117188,69.79342651367188,145.0,0.0,0.0,84.0,185.0,209.0,217.0,101.0,217.0,0.09240892198350695,3.0403921604156494,7.090824604034424,7.270928047022716,1.0,0.20794677734375,144.41427612304688,31.084077835083008
pairs_1_98,pair10,23A.nii.gz,23A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,84.180908203125,86.56672668457031,69.0,0.0,0.0,0.0,160.0,254.0,255.0,160.0,255.0,0.4138353135850694,3.5450847148895264,13.19802188873291,5.203933885263451,1.0,0.07518513997395833,106.28108215332031,42.14856719970703
pairs_1_98,pair10,23B.nii.gz,23B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,93.68594360351562,90.32320404052734,89.0,0.0,0.0,0.0,177.0,254.0,255.0,177.0,255.0,0.39398193359375,3.8492584228515625,13.347552299499512,5.368537767743243,1.0,0.12003072102864583,124.36710357666016,45.856658935546875
pairs_1_98,pair11,6A.nii.gz,6A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,152.2260284423828,50.90912628173828,167.0,0.0,57.0,121.0,191.0,211.0,222.0,70.0,222.0,0.025665283203125,2.9419195652008057,5.443935871124268,7.303181986350593,1.0,0.3630642361111111,135.266357421875,41.97480010986328
pairs_1_98,pair11,6B.nii.gz,6B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,140.80804443359375,55.79792404174805,153.0,0.0,8.0,107.0,182.0,213.0,222.0,75.0,222.0,0.041280110677083336,2.8422470092773438,6.603560447692871,7.425092725205995,1.0,0.3207143147786458,145.757080078125,40.44611740112305
pairs_1_98,pair12,12A.nii.gz,12A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,137.5712432861328,52.2553596496582,142.0,0.0,48.0,102.0,178.0,212.0,223.0,76.0,223.0,0.0227203369140625,2.9587748050689697,5.798929691314697,7.512960476352142,1.0,0.3437381320529514,117.67172241210938,38.010162353515625
pairs_1_98,pair12,12B.nii.gz,12B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,121.65538024902344,61.375282287597656,128.0,0.0,0.0,89.0,164.0,214.0,227.0,75.0,227.0,0.08191426595052083,3.0247888565063477,7.153475761413574,7.393606796155241,1.0,0.2673441569010417,121.1341781616211,34.10894012451172
pairs_1_98,pair13,DD2.nii.gz,DD2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,115.98198699951172,56.9107780456543,118.0,0.0,1.0,80.0,158.0,202.0,208.0,78.0,208.0,0.04974534776475695,3.3153843879699707,7.886382102966309,7.4895410816532895,1.0,0.3001149495442708,114.77120971679688,39.28877258300781
pairs_1_98,pair13,DD3.nii.gz,DD3_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,121.38514709472656,65.52082061767578,134.0,0.0,0.0,85.0,170.0,211.0,222.0,85.0,222.0,0.11110602484809028,2.9883198738098145,7.501287937164307,7.2501303172219975,1.0,0.2530517578125,133.09365844726562,33.486839294433594
pairs_1_98,pair14,H1.nii.gz,H1_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,133.08424377441406,58.51178741455078,142.0,0.0,0.0,97.0,180.0,211.0,217.0,83.0,217.0,0.056969536675347224,1.9868206977844238,5.585020065307617,7.412258658945019,1.0,0.2184939914279514,136.34849548339844,33.940670013427734
pairs_1_98,pair14,H2.nii.gz,H2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,134.76524353027344,52.342071533203125,144.0,14.0,39.0,96.0,177.0,206.0,213.0,81.0,199.0,0.0005967881944444445,2.6461122035980225,6.1950459480285645,7.566711037883421,1.0,0.3045332166883681,100.90711212158203,40.80386734008789
pairs_1_98,pair15,p1_1.nii.gz,p1_1_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,102.1370849609375,42.83145523071289,101.0,0.0,25.0,77.0,130.0,176.0,187.0,53.0,187.0,0.031668768988715276,2.604278087615967,6.066871643066406,7.2238763157345405,1.0,0.3874155680338542,98.86382293701172,27.731630325317383
pairs_1_98,pair15,p1_2.nii.gz,p1_2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,134.64114379882812,62.717613220214844,152.0,0.0,17.0,88.0,190.0,206.0,215.0,102.0,215.0,0.025999281141493056,2.837141990661621,3.4639782905578613,7.534342606436622,1.0,0.3281148274739583,154.49411010742188,34.09438705444336
pairs_1_98,pair2,25A.nii.gz,25A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,108.36650085449219,60.143333435058594,106.0,0.0,7.0,65.0,157.0,205.0,214.0,92.0,214.0,0.03233676486545139,3.5216658115386963,7.0798821449279785,7.68556813397297,1.0,0.3748626708984375,117.30220031738281,40.350704193115234
pairs_1_98,pair2,25B.nii.gz,25B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,119.74169921875,60.39602279663086,123.0,0.0,3.0,81.0,167.0,208.0,217.0,86.0,217.0,0.046454535590277776,3.1419858932495117,6.948822498321533,7.598766210141765,1.0,0.3007558186848958,125.66527557373047,30.165882110595703
pairs_1_98,pair3,B3.nii.gz,B3_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,144.52159118652344,57.200355529785156,159.0,0.0,16.0,108.0,192.0,210.0,217.0,84.0,217.0,0.036034478081597224,3.194634437561035,6.634127616882324,7.3887061791611295,1.0,0.2515190972222222,134.33639526367188,41.9028205871582
pairs_1_98,pair3,B4.nii.gz,B4_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,148.9908905029297,55.167564392089844,162.0,0.0,28.0,119.0,195.0,211.0,217.0,76.0,217.0,0.026628282335069444,3.0432186126708984,6.125072956085205,7.3730021870891,1.0,0.2686598036024306,134.1109161376953,39.955169677734375
pairs_1_98,pair4,17A.nii.gz,17A_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,128.2416229248047,53.72770309448242,137.0,0.0,19.0,96.0,172.0,199.0,207.0,76.0,207.0,0.03358289930555555,3.170718193054199,5.984251499176025,7.467427353375475,1.0,0.3702969021267361,122.52732849121094,39.35929870605469
pairs_1_98,pair4,17B.nii.gz,17B_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,123.37882232666016,59.123451232910156,127.0,0.0,1.0,84.0,170.0,209.0,221.0,86.0,221.0,0.04972669813368055,3.073467254638672,7.150615215301514,7.558247126695763,1.0,0.2922532823350694,122.75682830810547,40.09685516357422
pairs_1_98,pair5,A3.nii.gz,A3_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,139.1103973388672,55.097076416015625,151.0,0.0,1.0,113.0,176.0,211.0,218.0,63.0,218.0,0.04705810546875,2.0660531520843506,3.05525279045105,7.331231824535293,1.0,0.32647705078125,142.4412841796875,37.74808883666992
pairs_1_98,pair5,A4.nii.gz,A4_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,139.8428955078125,58.11970138549805,154.0,0.0,5.0,113.0,181.0,211.0,218.0,68.0,218.0,0.04133945041232639,2.301389455795288,3.2222554683685303,7.3701675954234425,1.0,0.3510911729600694,149.32823181152344,37.09375
pairs_1_98,pair6,CC1.nii.gz,CC1_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,133.98269653320312,59.94325256347656,144.0,0.0,0.0,101.0,181.0,211.0,221.0,80.0,221.0,0.062201605902777776,3.9032249450683594,7.3518290519714355,7.431788130430365,1.0,0.3209703233506944,140.86643981933594,45.64667892456055
pairs_1_98,pair6,CC2.nii.gz,CC2_lung_seg.nii.gz,768.0,768.0,0.13899999856948853,0.13899999856948853,0.0,255.0,102.91619110107422,63.60594177246094,105.0,2.0,13.0,35.0,163.0,194.0,201.0,128.0,199.0,0.007578531901041667,3.672173023223877,6.516341686248779,7.397193990568616,1.0,0.2562984890407986,122.45471954345703,41.408897399902344
